"gene_id","transcript_length","gene_length","cds_count"
"AL1G30540",732,1388,3
"AL1G30550",897,2095,10
"AL1G30560",2007,3761,10
"AL1G30570",614,1303,2
"AL1G30580",510,780,1
"AL1G30590",501,1289,1
"AL1G30600",525,838,1
"AL1G30620",732,1477,3
"AL1G30630",2037,3215,6
"AL1G30640",759,1010,1
"AL1G30650",4122,10533,42
"AL1G30660",540,1012,3
"AL3G20580",747,961,2
"AL1G30670",537,629,1
"AL1G30680",624,1377,2
"AL1G30690",516,1460,4
"AL1G30700",1065,2154,5
"AL1G30710",729,2276,8
"AL1G30720",906,2398,11
"AL1G30740",219,763,2
"AL1G30750",536,1178,7
"AL1G30770",777,1186,2
"AL1G30780",1182,2514,7
"AL1G30790",2889,4677,14
"AL1G30800",2670,4431,5
"AL1G30810",753,2406,6
"AL1G30820",2985,5417,19
"AL1G30830",1590,2467,1
"AL1G30840",567,945,3
"AL1G30850",1728,2468,8
"AL1G30870",846,1895,9
"AL1G30880",1326,3956,20
"AL1G30890",2106,3654,9
"AL1G30900",1404,4139,14
"AL1G30910",1176,1395,1
"AL1G30920",2862,2910,2
"AL1G30930",846,1685,5
"AL1G30940",1893,4168,12
"AL1G30950",747,1015,2
"AL1G30960",819,1398,2
"AL1G30970",474,565,1
"AL1G30980",705,1295,4
"AL1G30990",2181,3119,6
"AL1G31000",1748,2937,4
"AL1G31010",1059,1823,3
"AL1G31020",1602,2485,2
"AL1G31030",1041,1286,1
"AL1G31040",1011,2303,8
"AL1G31050",1164,3636,9
"AL1G31060",2928,4575,4
"AL1G31070",495,1712,4
"AL1G31080",891,2313,7
"AL1G31090",471,1845,3
"AL1G31100",2005,2965,7
"AL1G31110",1140,4753,15
"AL1G31120",2124,3669,9
"AL1G31130",540,1310,3
"AL1G31140",1437,3556,1
"AL1G31150",2092,5753,20
"AL1G31160",795,2936,3
"AL1G31170",492,1785,1
"AL1G31180",303,303,1
"AL1G31190",621,1906,4
"AL1G31200",528,1781,6
"AL1G31210",1149,1514,1
"AL1G31220",144,878,1
"AL1G31230",1125,3181,11
"AL1G31240",675,929,1
"AL1G31270",604,772,1
"AL1G31280",1266,1379,1
"AL1G31290",1053,1399,1
"AL1G31300",824,1408,4
"AL1G31320",1116,1402,1
"AL1G31350",3231,5307,24
"AL1G31360",219,570,1
"AL1G31380",1719,3703,6
"AL1G31390",1200,1645,1
"AL1G31400",1623,2936,4
"AL1G31410",293,869,1
"AL1G31450",1764,2478,4
"AL1G31470",1629,2642,7
"AL1G31480",2583,3504,1
"AL1G31490",3783,5602,12
"AL1G31500",1581,2098,2
"AL1G31510",2256,5854,12
"AL1G31520",927,1323,3
"AL1G31530",663,809,1
"AL1G31540",663,803,1
"AL1G31550",1572,1966,2
"AL1G31560",864,2064,3
"AL1G31570",942,2052,4
"AL1G31580",258,433,1
"AL1G31590",261,482,3
"AL1G31600",1642,2129,3
"AL1G31610",350,500,1
"AL1G31620",639,1518,5
"AL1G31630",1290,2402,3
"AL1G31640",222,1474,1
"AL1G31650",164,774,2
"AL1G31660",1848,2849,6
"AL1G31670",1992,6776,19
"AL1G31680",2265,3929,13
"AL1G31690",528,1577,5
"AL1G31700",387,1242,5
"AL1G31710",567,1227,3
"AL1G31720",927,1756,6
"AL1G31730",810,1207,4
"AL1G31740",1062,1349,1
"AL1G31750",1521,2413,5
"AL1G31760",795,1436,2
"AL1G31770",944,1121,1
"AL1G31780",681,873,2
"AL1G31790",561,840,1
"AL1G31800",3273,4775,12
"AL3G47660",140,312,1
"AL4G15930",91,2005,1
"AL1G31810",2856,5984,14
"AL1G31820",312,1135,2
"AL1G31830",1593,2402,5
"AL1G31840",927,3105,11
"AL1G31850",1596,3577,10
"AL1G31880",2712,3324,1
"AL1G31890",1053,1416,1
"AL1G31900",681,1354,1
"AL1G31910",747,948,2
"AL1G31920",729,3300,6
"AL1G31930",1233,2373,8
"AL1G31940",1002,1823,2
"AL1G31950",1287,2116,2
"AL1G31960",1827,2248,1
"AL1G31980",441,903,2
"AL1G32000",1352,1549,2
"AL1G32010",132,2165,1
"AL1G32020",912,2254,2
"AL1G32030",40,95,1
"AL1G32040",NA,143,0
"AL1G32170",980,1442,5
"AL1G32180",2163,3307,8
"AL1G32190",1551,2084,1
"AL1G32200",1464,3436,17
"AL1G32210",811,1622,2
"AL1G32220",1146,1957,2
"AL1G32230",2109,5016,12
"AL1G32240",1404,2559,6
"AL1G32250",243,855,2
"AL1G32260",275,432,1
"AL1G32270",2199,2802,3
"AL1G32280",354,1029,4
"AL1G32290",749,1080,4
"AL1G32300",642,1266,3
"AL1G32310",828,2863,5
"AL1G32320",1068,2678,8
"AL1G32330",237,500,2
"AL1G32340",1068,1406,1
"AL1G32350",1431,2757,10
"AL1G32360",1170,3055,4
"AL1G32370",1848,3448,14
"AL1G32380",981,2685,9
"AL1G32390",975,1368,2
"AL4G17600",1204,4110,12
"AL1G32400",1330,2223,4
"AL1G32410",1053,1970,8
"AL1G32420",1605,2978,4
"AL1G32430",1443,1979,5
"AL1G32440",1791,2754,7
"AL1G32450",2685,2942,1
"AL1G32460",360,1167,3
"AL1G32470",834,1272,1
"AL1G32480",1182,1542,2
"AL1G32490",2259,2755,6
"AL1G32500",1044,2045,2
"AL1G32520",1053,1693,2
"AL1G32530",350,776,1
"AL1G32550",2961,4401,5
"AL1G32560",462,1003,1
"AL3G47550",477,732,3
"AL1G32580",2715,4476,13
"AL1G32590",1248,3431,4
"AL1G32600",2379,3712,6
"AL1G32610",1611,3712,16
"AL1G32620",417,1038,4
"AL1G32630",1650,2430,1
"AL1G32640",498,1266,3
"AL1G32650",1260,2237,5
"AL1G32660",1551,2286,6
"AL1G32670",930,2413,6
"AL1G32680",195,388,1
"AL1G32690",270,607,1
"AL1G32700",819,1780,6
"AL1G32710",1017,1968,5
"AL1G32720",738,1544,4
"AL1G32730",456,658,1
"AL1G32740",1350,2728,3
"AL1G32750",525,1336,2
"AL1G32760",489,1790,5
"AL1G32800",1110,2390,9
"AL1G32810",912,1537,2
"AL1G32820",366,549,3
"AL1G32830",268,268,1
"AL1G32850",663,1340,4
"AL1G32860",2886,5590,24
"AL1G32870",207,1041,3
"AL1G32880",585,1241,1
"AL1G32890",1614,3225,12
"AL1G32900",591,1944,7
"AL1G32910",246,683,1
"AL1G32920",1842,3532,10
"AL1G32930",1071,2252,5
"AL1G32940",1125,1863,5
"AL1G32950",1347,2324,5
"AL1G32960",1182,2587,5
"AL1G32970",1020,1648,5
"AL1G32980",486,940,2
"AL1G32990",2235,3139,9
"AL1G33000",2310,3239,9
"AL1G33020",1167,1609,2
"AL1G33030",759,1595,3
"AL1G33040",1467,3138,8
"AL1G33060",936,2719,10
"AL1G33070",702,1518,4
"AL1G33080",2283,2482,1
"AL1G33090",1596,2785,3
"AL1G33110",1464,3699,14
"AL1G33120",864,2222,7
"AL1G33130",1614,1813,1
"AL1G33140",708,978,1
"AL1G33150",846,932,1
"AL1G33160",1098,1338,1
"AL1G33170",504,803,1
"AL1G33180",684,836,1
"AL1G33190",436,667,3
"AL1G33250",1141,1196,1
"AL1G33260",1527,4775,16
"AL1G33280",759,1389,5
"AL1G33290",1716,2283,2
"AL1G33310",2196,3545,11
"AL1G33330",1515,3722,15
"AL3G50650",112,250,1
"AL1G33340",1641,2425,5
"AL1G33360",351,758,1
"AL1G33370",798,1199,2
"AL1G33380",771,1223,2
"AL1G33390",285,2170,1
"AL1G33400",432,754,1
"AL1G33410",1692,2182,5
"AL1G33420",1435,2218,5
"AL1G33430",1640,2628,4
"AL1G33440",1641,2452,4
"AL1G33450",558,904,1
"AL1G33460",1824,2114,3
"AL1G33470",1056,2793,13
"AL1G33480",1704,2833,9
"AL1G33490",1668,2053,2
"AL1G33510",741,1982,8
"AL1G33520",392,2188,5
"AL1G33530",1286,2989,11
"AL1G33560",351,1039,2
"AL4G22100",231,591,1
"AL1G33580",1263,3946,5
"AL1G33590",1479,3084,7
"AL1G33600",2535,3883,4
"AL1G33610",1146,2073,6
"AL1G33620",186,226,1
"AL1G33630",815,1347,4
"AL1G33640",1929,4010,9
"AL1G33650",753,2127,5
"AL1G33660",681,1120,5
"AL1G33670",435,1975,7
"AL1G33680",426,1921,7
"AL1G33690",621,1558,3
"AL1G33700",594,909,3
"AL1G33710",3819,7576,29
"AL1G33720",801,1157,5
"AL1G33730",789,1854,5
"AL1G33230",109,307,1
"AL1G33740",3204,5600,25
"AL1G33750",2994,5821,12
"AL1G33760",648,1811,6
"AL1G33780",2418,3706,3
"AL1G33790",1651,2779,2
"AL1G33800",542,807,1
"AL1G33810",690,1730,6
"AL1G33820",504,1301,5
"AL1G33830",594,882,1
"AL1G33850",720,1952,3
"AL1G33860",2214,3555,5
"AL1G33870",1499,1987,4
"AL1G33880",1611,2698,2
"AL1G33890",1398,2435,2
"AL1G33900",817,3881,5
"AL1G33910",594,1527,5
"AL1G33920",945,1737,1
"AL1G33930",1203,4503,13
"AL1G33940",3432,4676,2
"AL1G33950",1161,2220,10
"AL1G33960",948,2153,8
"AL1G33970",1094,1471,2
"AL1G33980",1845,4172,19
"AL1G33990",6516,8599,3
"AL1G34040",3554,4807,8
"AL1G34050",3123,4678,10
"AL1G34060",963,1948,2
"AL1G34070",741,1698,4
"AL1G34080",624,964,1
"AL1G34090",735,902,1
"AL5G15230",466,1053,4
"AL1G34100",1518,2565,10
"AL8G17720",216,453,3
"AL1G34120",1047,2210,5
"AL1G34130",1176,3661,10
"AL1G34140",699,1941,4
"AL1G34150",893,1932,5
"AL1G34160",932,1187,2
"AL1G34170",1122,2003,3
"AL1G34180",1122,1534,3
"AL1G34200",603,871,1
"AL1G34210",1071,1774,1
"AL1G34220",2625,4074,12
"AL1G34230",3258,6716,21
"AL1G34240",296,1167,3
"AL1G34250",1323,1971,1
"AL1G34270",2106,2450,3
"AL1G34300",964,1193,1
"AL1G34310",2208,2467,3
"AL1G34320",2096,2609,3
"AL1G34330",2268,2866,3
"AL1G34340",2205,2523,3
"AL1G34350",545,1014,1
"AL1G34360",2190,2940,3
"AL1G34370",708,940,1
"AL1G34380",10,463,0
"AL1G34410",444,1442,5
"AL1G34420",612,1057,2
"AL7G32280",186,1466,1
"AL1G34430",264,306,1
"AL1G34440",792,929,1
"AL1G34450",762,2220,9
"AL1G34460",648,2076,6
"AL1G34470",906,1831,3
"AL1G34480",1521,3044,9
"AL1G34490",735,1584,2
"AL1G34500",225,225,1
"AL1G34510",1419,2962,9
"AL1G34520",1083,2413,4
"AL1G34540",1530,2690,6
"AL1G34550",1011,1884,7
"AL1G34560",1737,2753,1
"AL1G34570",684,1535,4
"AL1G34580",589,1635,4
"AL1G34590",1389,2581,8
"AL1G34620",1086,1149,2
"AL1G34640",381,1060,2
"AL1G34650",981,1215,1
"AL1G34660",201,558,1
"AL1G34670",216,515,1
"AL1G34680",207,503,1
"AL1G34690",1653,2020,2
"AL1G34700",411,634,1
"AL1G34710",1170,2221,4
"AL1G34720",6519,8634,10
"AL1G34730",2280,3736,10
"AL1G34740",987,2400,6
"AL1G34750",2061,4915,14
"AL1G34770",3612,6897,13
"AL1G34780",3061,4430,8
"AL1G34790",3177,8269,31
"AL1G34800",2439,3403,7
"AL1G36740",840,1948,10
"AL1G36730",194,2129,2
"AL1G34810",692,844,1
"AL1G34820",1554,3666,9
"AL1G34830",2112,2229,1
"AL1G34840",2121,2290,1
"AL1G34850",1020,3017,12
"AL1G34860",618,854,1
"AL1G34870",2403,4235,9
"AL1G34880",1101,1851,3
"AL1G34890",615,2037,7
"AL1G34900",693,1030,2
"AL1G34910",288,705,3
"AL1G34920",2673,6228,23
"AL1G34940",2835,3812,4
"AL3G43350",10,147,0
"AL1G34950",1505,3042,9
"AL1G34960",765,2320,7
"AL1G34970",336,655,2
"AL1G34980",981,1727,4
"AL1G34990",867,1850,3
"AL1G35010",2094,2940,3
"AL1G35020",618,1365,2
"AL1G35030",269,311,1
"AL1G35040",723,1266,1
"AL1G35050",1632,2821,8
"AL1G35060",282,327,1
"AL1G35070",1035,2000,5
"AL1G35080",1257,2233,5
"AL1G35090",1170,2550,7
"AL1G35100",651,1661,4
"AL1G35110",660,1017,1
"AL1G35120",1278,1961,3
"AL1G35130",288,330,1
"AL1G35140",288,328,1
"AL1G35150",294,2025,2
"AL1G35310",372,748,1
"AL1G35320",393,719,1
"AL1G35160",405,753,1
"AL1G35340",243,361,2
"AL1G35170",559,624,2
"AL264U10010",393,653,1
"AL1G35360",441,743,1
"AL1G35370",714,7128,3
"AL1G35190",351,996,1
"AL1G35200",183,232,1
"AL1G35230",636,892,1
"AL1G35220",183,231,1
"AL1G35210",636,921,1
"AL1G35240",1041,1953,4
"AL1G35250",180,695,1
"AL1G35260",264,304,1
"AL1G35270",282,322,1
"AL1G35280",288,328,1
"AL1G35290",294,1705,2
"AL1G35300",378,684,1
"AL3G42580",585,1793,1
"AL264U10030",624,1064,1
"AL1G35380",2268,3839,8
"AL1G35390",762,1110,1
"AL1G35400",684,991,4
"AL1G35410",341,535,1
"AL1G35420",1194,2548,11
"AL1G53200",47,72,1
"AL1G35430",1788,3764,4
"AL1G35440",1005,1385,2
"AL1G35460",1437,2166,1
"AL1G35470",195,1944,2
"AL1G35480",369,498,2
"AL1G35490",6003,8380,9
"AL1G35500",222,563,1
"AL1G35510",1152,2655,8
"AL1G35530",1025,1520,6
"AL1G35540",1326,2426,7
"AL1G35550",834,2691,1
"AL1G35560",1296,3636,11
"AL1G35570",1000,3372,10
"AL1G35580",219,1083,2
"AL1G35590",1971,3887,12
"AL1G35600",683,2687,5
"AL1G35610",444,750,2
"AL1G35620",990,2099,7
"AL1G35630",951,1951,5
"AL1G35640",822,1534,1
"AL1G35650",1161,3177,13
"AL1G35660",990,2828,11
"AL1G35670",954,1230,1
"AL1G35680",945,1180,1
"AL1G35692",1578,1920,5
"AL1G35694",423,477,2
"AL1G35700",1275,1496,1
"AL1G35710",561,863,2
"AL1G36770",675,1534,7
"AL1G35720",375,667,1
"AL1G35730",2631,5483,18
"AL1G35740",846,1924,5
"AL1G35750",765,2595,7
"AL1G35760",1536,2251,2
"AL1G35780",873,2937,6
"AL1G35790",1467,1754,2
"AL1G35800",933,1290,1
"AL1G35820",210,497,1
"AL1G35830",1446,2686,2
"AL1G35840",663,925,1
"AL1G35850",392,778,1
"AL1G35860",1457,2450,2
"AL7G52300",NA,255,0
"AL1G35870",1461,4042,2
"AL1G35880",1584,2874,5
"AL1G35890",1380,1793,1
"AL1G35950",1167,2668,9
"AL1G35960",1167,2223,9
"AL1G35970",579,1820,5
"AL1G35980",1701,3082,12
"AL1G35990",441,570,1
"AL1G36000",525,905,2
"AL1G36010",939,2385,3
"AL1G36040",1149,1357,1
"AL1G36050",222,1930,3
"AL1G36060",300,1271,3
"AL1G36070",2058,2944,4
"AL1G36080",1686,2245,4
"AL1G36090",1669,2040,4
"AL1G36100",1695,2232,4
"AL1G36120",492,874,1
"AL1G36130",1140,1945,2
"AL1G36140",3078,3436,1
"AL1G36150",2736,5116,16
"AL1G36160",324,1082,4
"AL1G36170",774,1174,3
"AL1G36180",1605,3518,4
"AL1G36190",198,237,1
"AL1G36200",1812,4418,15
"AL1G36210",1284,1978,4
"AL1G36220",555,735,1
"AL1G36230",369,829,4
"AL1G36240",879,1968,5
"AL1G36250",1539,2322,4
"AL5G20950",17,183,1
"AL2G11890",374,489,2
"AL1G31870",912,2022,9
"AL1G37050",950,1029,1
"AL1G36270",2079,2939,3
"AL1G36280",618,1644,7
"AL1G36290",771,1991,9
"AL1G36300",2004,3665,7
"AL1G36310",150,192,1
"AL1G36320",3525,6539,14
"AL1G36330",459,1393,4
"AL1G36340",645,1898,2
"AL1G36350",1068,2356,11
"AL1G36360",444,612,1
"AL1G36370",1974,2503,2
"AL1G36380",345,1044,3
"AL1G36390",1014,2464,7
"AL1G36400",2955,6024,14
"AL1G36420",1458,2166,5
"AL1G36430",1905,2595,2
"AL1G36440",195,1636,2
"AL1G36450",225,1346,2
"AL1G36460",411,670,1
"AL1G36470",765,2663,6
"AL1G36480",1074,2462,6
"AL1G36490",3393,4770,11
"AL1G36500",1569,2691,8
"AL1G36510",1161,2195,9
"AL1G36520",2154,2836,1
"AL1G36530",1071,1553,4
"AL1G36540",1128,2116,5
"AL1G36550",489,800,1
"AL1G36560",459,1005,3
"AL1G36570",1068,1635,3
"AL1G36580",1707,2511,4
"AL1G36590",2172,9958,9
"AL1G36600",1836,2430,3
"AL1G36610",438,962,1
"AL1G36620",477,713,1
"AL1G36630",1095,2192,4
"AL1G36640",1212,1917,7
"AL1G36650",1833,3308,6
"AL1G36660",1896,4534,11
"AL1G36670",294,676,3
"AL1G36680",747,1695,5
"AL1G36690",447,608,2
"AL1G36790",434,808,2
"AL1G36800",498,1003,3
"AL1G36810",312,547,1
"AL1G36820",426,1020,2
"AL3G44270",488,942,2
"AL1G36830",1050,1742,4
"AL1G36840",1845,3274,10
"AL1G36850",2508,3663,10
"AL1G36860",1752,4651,18
"AL1G36870",1509,2322,2
"AL1G36880",582,709,1
"AL1G36920",618,910,1
"AL7G35910",390,578,1
"AL1G36990",345,3233,2
"AL1G37000",573,712,1
"AL1G37010",1092,3060,4
"AL1G37020",4857,7704,20
"AL1G37030",624,2044,6
"AL1G37040",477,1762,5
"AL1G31860",820,1065,1
"AL1G37060",909,2000,9
"AL1G37070",441,663,1
"AL1G37080",870,1683,8
"AL1G37100",1446,3301,13
"AL1G37110",1164,2050,5
"AL1G37120",1416,2699,8
"AL1G12420",NA,197,0
"AL1G37130",1018,1459,2
"AL1G37140",1227,2983,7
"AL1G37150",498,795,1
"AL1G37160",789,1909,8
"AL1G37170",984,5302,5
"AL1G37180",1164,1329,1
"AL1G37190",1635,2707,6
"AL1G37200",471,629,1
"AL1G37210",730,2054,7
"AL7G30750",243,402,2
"AL1G37230",654,2613,4
"AL1G37250",1665,3201,8
"AL1G37260",546,2405,6
"AL1G37270",813,1745,5
"AL1G37290",582,947,1
"AL1G37300",2134,3376,8
"AL1G37310",954,1801,4
"AL1G37320",1002,1805,5
"AL3G50790",NA,79,0
"AL1G37330",874,1439,5
"AL1G37340",853,1496,4
"AL1G37350",751,1457,5
"AL1G37370",898,1660,4
"AL1G37380",567,1630,5
"AL1G37390",NA,525,0
"AL1G37400",684,1108,5
"AL1G37410",818,1687,5
"AL1G37420",801,3230,5
"AL1G37430",776,1570,5
"AL1G37440",819,1358,5
"AL1G37450",1338,3081,14
"AL1G37460",900,1226,1
"AL1G37470",726,957,1
"AL1G37480",777,2590,8
"AL1G37490",1161,1632,4
"AL1G37500",414,1391,2
"AL1G37510",1815,2124,1
"AL1G37520",972,972,1
"AL1G37530",1425,1757,1
"AL1G37550",1623,2209,4
"AL1G37560",1527,2818,10
"AL1G37570",1005,2682,9
"AL1G37580",1038,1128,1
"AL1G37590",993,1129,1
"AL1G37600",1069,1382,1
"AL1G37610",564,2293,5
"AL1G37620",2604,3607,3
"AL1G37630",1500,2706,7
"AL1G37640",786,2127,6
"AL1G37650",2631,6352,18
"AL1G37660",1971,4068,13
"AL1G37670",995,1740,6
"AL1G37710",882,1564,7
"AL1G37720",1125,3666,7
"AL1G37740",1119,1487,1
"AL1G37750",240,461,1
"AL7G49570",270,849,2
"AL1G37760",430,794,2
"AL1G37780",468,1069,2
"AL1G37790",954,3766,2
"AL1G37810",570,1852,5
"AL1G37850",969,3487,5
"AL1G37860",414,1410,4
"AL1G37870",1659,3432,10
"AL1G37890",1065,2600,9
"AL1G37900",642,1682,3
"AL1G37910",1389,1632,2
"AL1G37920",981,1429,1
"AL1G37930",1311,3000,10
"AL1G37940",1245,1462,1
"AL8G12830",323,1114,3
"AL1G37950",1163,1345,1
"AL1G37960",272,496,1
"AL1G37970",333,1226,2
"AL1G37980",2286,2730,2
"AL1G37990",1617,3452,7
"AL1G38000",1170,1553,1
"AL1G38010",1182,2678,8
"AL1G38020",3987,7078,21
"AL1G38030",531,1872,4
"AL1G38040",504,1524,4
"AL1G38050",326,718,4
"AL1G38070",257,358,2
"AL1G38090",2444,7509,17
"AL1G38110",702,1339,5
"AL1G38120",224,453,2
"AL1G38130",350,949,2
"AL1G38150",1245,1727,1
"AL1G38200",585,1174,4
"AL1G38240",1878,2748,5
"AL1G38250",1728,2219,1
"AL1G38260",1806,2652,1
"AL1G38285",4452,7936,6
"AL1G38290",4164,4994,5
"AL1G38300",4626,5699,6
"AL3G41580",2905,3133,2
"AL1G38330",1406,3027,14
"AL1G38340",115,182,1
"AL1G38350",684,1215,2
"AL1G38370",386,1187,4
"AL1G38380",312,1802,5
"AL1G38390",1557,4040,3
"AL1G38400",1263,2373,4
"AL1G38410",1605,4008,4
"AL1G38420",1605,2688,8
"AL1G38430",1167,1887,7
"AL1G38440",618,889,2
"AL1G38450",561,1159,2
"AL1G38460",1737,3683,5
"AL8G21090",597,2855,7
"AL1G38480",933,2279,7
"AL7G43550",396,1798,1
"AL1G38500",927,2610,7
"AL1G38510",433,617,1
"AL1G38520",918,2630,13
"AL1G38530",7638,12969,27
"AL1G38580",1239,2017,5
"AL1G38590",771,1417,3
"AL1G38600",285,1386,2
"AL1G38610",678,5040,8
"AL1G38620",1269,1845,1
"AL1G38630",513,890,1
"AL1G38640",439,2068,4
"AL1G38650",282,1195,4
"AL1G38660",666,1429,3
"AL1G38670",1708,1906,1
"AL1G38680",393,706,3
"AL1G38690",339,1950,4
"AL1G38700",261,693,2
"AL1G38710",2199,2884,2
"AL1G38720",855,2090,10
"AL1G38730",817,1630,2
"AL1G38740",1851,3261,6
"AL1G38750",1245,4869,3
"AL1G38760",363,1354,4
"AL1G38770",669,1235,4
"AL1G38800",1755,6024,9
"AL1G38860",1421,1671,4
"AL1G38830",243,329,2
"AL1G38810",284,767,3
"AL1G38870",1932,3261,7
"AL1G38880",651,900,1
"AL1G38890",933,3730,6
"AL1G38900",1125,1455,2
"AL1G38910",1071,1749,3
"AL1G38930",756,1610,3
"AL1G38940",1341,1785,1
"AL1G38950",1638,1794,1
"AL1G38960",588,1361,4
"AL1G38970",405,1514,3
"AL1G38980",2253,3648,12
"AL1G38990",513,1220,1
"AL1G39000",465,792,1
"AL1G39010",1668,4779,15
"AL1G39024",645,1391,4
"AL1G39030",3039,4593,11
"AL1G39040",528,755,1
"AL1G39050",669,1896,5
"AL1G39060",570,1394,5
"AL1G39070",462,2001,6
"AL1G39080",1007,1494,1
"AL1G39090",993,2393,12
"AL1G39100",480,1508,5
"AL1G39110",2586,4082,3
"AL1G39120",1371,1664,1
"AL1G39130",363,861,1
"AL1G39140",1131,1572,1
"AL1G39150",1362,2670,2
"AL1G39160",1446,2134,1
"AL1G39170",1530,3508,11
"AL1G39180",429,1902,4
"AL1G39190",2088,3216,8
"AL1G39200",591,1725,9
"AL1G39210",1125,2363,9
"AL1G39220",1314,1778,3
"AL1G39230",1205,1468,1
"AL1G39240",1503,1833,1
"AL1G39260",807,1625,7
"AL1G39270",402,1160,5
"AL1G39280",1893,2974,6
"AL1G39330",1587,1749,1
"AL1G39310",9002,14220,35
"AL1G39300",603,1422,4
"AL1G39340",1659,1796,1
"AL1G39360",1929,2090,2
"AL5G21220",172,212,1
"AL1G39370",1517,1667,1
"AL1G39380",1590,1836,1
"AL1G39390",2142,4013,12
"AL1G39400",1329,2152,5
"AL1G39410",408,1039,3
"AL1G39420",3615,6383,14
"AL1G39430",1056,1819,5
"AL1G39440",586,2121,7
"AL1G39450",939,2120,6
"AL1G39470",1905,3184,1
"AL1G39480",1173,2255,8
"AL1G39490",1596,4919,2
"AL1G39500",1596,3526,13
"AL1G39510",591,1244,1
"AL1G39520",210,1366,3
"AL1G39530",444,1782,1
"AL1G39550",945,1583,6
"AL1G39560",2025,3940,11
"AL1G39570",1132,2293,8
"AL1G39580",3069,7669,33
"AL1G39590",765,2994,8
"AL1G39600",2301,4051,8
"AL1G39610",357,602,1
"AL1G39620",3558,5192,11
"AL1G39630",1196,1312,1
"AL1G39640",639,1737,9
"AL1G39650",1407,3031,11
"AL1G39660",3162,6099,20
"AL1G39670",1824,3504,8
"AL1G39680",711,1392,4
"AL1G39690",1362,2264,7
"AL1G39700",942,2374,6
"AL1G39710",688,1256,1
"AL1G39720",1323,3122,5
"AL1G39730",1887,3555,9
"AL1G39740",1077,1364,1
"AL1G39750",1023,1537,4
"AL1G39760",2499,5513,15
"AL1G39770",1323,2482,7
"AL1G39780",693,2543,12
"AL1G39790",1461,1757,1
"AL1G39800",1467,2703,7
"AL1G39810",1767,3868,12
"AL1G39820",1704,2826,6
"AL1G39830",870,2018,1
"AL1G39840",818,1464,5
"AL1G39850",1479,1858,2
"AL1G39860",1260,1732,2
"AL1G39870",374,1754,2
"AL1G39880",288,651,1
"AL1G39890",333,1126,1
"AL1G39900",1155,1935,6
"AL1G39910",972,2333,6
"AL1G39920",876,1188,1
"AL1G39930",1893,2626,4
"AL1G39940",1092,2522,9
"AL1G39950",1575,3083,12
"AL1G39960",783,1321,3
"AL1G39970",2373,2614,1
"AL1G39980",2385,5242,22
"AL1G39990",855,1544,3
"AL1G40000",681,1618,6
"AL1G40010",2109,2666,2
"AL1G40020",399,1046,4
"AL6G53270",426,2455,3
"AL1G40030",819,1347,1
"AL1G40040",276,445,1
"AL8G19780",411,4122,5
"AL1G40060",1002,2055,9
"AL1G40070",1332,2994,4
"AL3G29200",368,1016,3
"AL1G40080",225,885,3
"AL1G40090",1035,3090,7
"AL1G40100",684,1933,8
"AL1G40110",1158,2520,3
"AL1G40120",1134,1304,1
"AL1G40140",981,1884,7
"AL1G40150",828,2711,8
"AL1G40160",1251,1596,1
"AL1G40170",1159,1497,2
"AL1G40180",1156,1607,2
"AL1G40190",981,1791,7
"AL1G40200",282,747,3
"AL1G40210",1905,3837,11
"AL1G40220",651,1195,4
"AL1G40240",5418,14436,33
"AL1G40250",2685,2965,2
"AL1G40270",627,1290,1
"AL1G40290",561,1497,1
"AL1G40300",1431,2127,5
"AL1G40310",210,424,1
"AL1G40320",918,1197,1
"AL1G40330",252,441,1
"AL1G40340",270,589,1
"AL1G40350",411,1111,1
"AL1G40360",1164,3010,14
"AL1G40370",2064,3432,5
"AL6G12530",555,900,3
"AL1G40390",980,1827,7
"AL1G40400",1569,1663,1
"AL1G40410",1257,1442,1
"AL8G25240",NA,238,0
"AL1G40420",360,573,1
"AL1G40440",1608,2991,9
"AL1G40450",1503,2966,10
"AL1G40460",720,883,1
"AL1G40470",632,1390,2
"AL1G40480",5304,6868,8
"AL1G40490",572,1176,3
"AL1G40500",756,1867,4
"AL1G40510",1305,1753,1
"AL1G40520",1311,1476,1
"AL1G40530",177,522,1
"AL1G40540",1326,2223,7
"AL1G40550",762,1568,5
"AL1G40560",960,2912,11
"AL1G40570",507,1562,5
"AL1G40580",2130,3738,10
"AL1G40590",2404,3609,6
"AL1G40600",2349,5059,21
"AL1G40610",1125,2289,9
"AL1G40620",4317,6106,9
"AL1G40630",1578,1737,1
"AL1G40640",1806,3126,10
"AL1G40800",618,1867,6
"AL1G40790",609,1917,5
"AL1G40780",492,1374,4
"AL1G40770",1191,2898,4
"AL1G40760",1167,2858,4
"AL1G40750",207,1322,3
"AL1G40740",1401,2600,2
"AL1G40730",207,1222,3
"AL1G40720",3120,5458,10
"AL1G40710",369,1687,2
"AL1G40700",594,1199,2
"AL1G40690",450,1719,2
"AL1G40680",741,2508,8
"AL7G38660",218,1987,4
"AL1G40670",1050,3456,14
"AL1G40660",1032,3368,14
"AL1G40650",537,1186,2
"AL1G40810",534,1616,7
"AL1G40820",1269,1731,4
"AL1G40830",1044,1675,3
"AL1G40840",4452,6232,10
"AL1G40850",246,1412,2
"AL1G40860",1299,2289,4
"AL1G40870",732,2168,7
"AL1G40880",2085,3323,5
